03_1	Genus-4D	1	source:knotinfo;date:5 June 2022;scraped by:Claudius Zibrowius
03_1	tau	1	source:knotinfo;date:5 June 2022;scraped by:Claudius Zibrowius
03_1	epsilon	1	source:knotinfo;date:5 June 2022;scraped by:Claudius Zibrowius
03_1	s_2	2	program:kht++ v0.1-53-g46e86f4;options:-c2;input:r1.y0.y0.x1.u0,1
03_1	theta_2	4	program:kht++ v0.1-53-g46e86f4;options:-c2-d;input:r1.y0.y0.x1.u0,1
03_1	theta_3	3	program:kht++ v0.1-53-g46e86f4;options:-c3-d;input:r1.y0.y0.x1.u0,1
03_1	theta_5	3	program:kht++ v0.1-53-g46e86f4;options:-c5-d;input:r1.y0.y0.x1.u0,1
03_1	theta_7	3	program:kht++ v0.1-53-g46e86f4;options:-c7-d;input:r1.y0.y0.x1.u0,1
03_1	torus	2,3	author:Claudius Zibrowius
03_1	This is the trefoil knot.
04_1	Genus-4D	1	source:knotinfo;date:5 June 2022;scraped by:Claudius Zibrowius
04_1	tau	0	source:knotinfo;date:5 June 2022;scraped by:Claudius Zibrowius
04_1	epsilon	0	source:knotinfo;date:5 June 2022;scraped by:Claudius Zibrowius
04_1	s_2	0	program:kht++ v0.1-53-g46e86f4;options:-c2;input:r1.y0.x1.y0.y0.u1,1
04_1	theta_2	0	program:kht++ v0.1-53-g46e86f4;options:-c2-d;input:r1.y0.x1.y0.y0.u1,1
04_1	theta_3	0	program:kht++ v0.1-53-g46e86f4;options:-c3-d;input:r1.y0.x1.y0.y0.u1,1
04_1	theta_5	0	program:kht++ v0.1-53-g46e86f4;options:-c5-d;input:r1.y0.x1.y0.y0.u1,1
04_1	theta_7	0	program:kht++ v0.1-53-g46e86f4;options:-c7-d;input:r1.y0.x1.y0.y0.u1,1
05_1	Genus-4D	2	source:knotinfo;date:5 June 2022;scraped by:Claudius Zibrowius
05_1	tau	2	source:knotinfo;date:5 June 2022;scraped by:Claudius Zibrowius
05_1	epsilon	1	source:knotinfo;date:5 June 2022;scraped by:Claudius Zibrowius
05_1	s_2	4	program:kht++ v0.1-53-g46e86f4;options:-c2;input:r0.x1.y0.y0.y0.x1.u0,1
05_1	theta_2	8	program:kht++ v0.1-53-g46e86f4;options:-c2-d;input:r0.x1.y0.y0.y0.x1.u0,1
05_1	theta_3	6	program:kht++ v0.1-53-g46e86f4;options:-c3-d;input:r0.x1.y0.y0.y0.x1.u0,1
05_1	theta_5	6	program:kht++ v0.1-53-g46e86f4;options:-c5-d;input:r0.x1.y0.y0.y0.x1.u0,1
05_1	theta_7	6	program:kht++ v0.1-53-g46e86f4;options:-c7-d;input:r0.x1.y0.y0.y0.x1.u0,1
05_1	torus	2,5	author:Claudius Zibrowius
05_2	Genus-4D	1	source:knotinfo;date:5 June 2022;scraped by:Claudius Zibrowius
05_2	tau	1	source:knotinfo;date:5 June 2022;scraped by:Claudius Zibrowius
05_2	epsilon	1	source:knotinfo;date:5 June 2022;scraped by:Claudius Zibrowius
05_2	s_2	2	program:kht++ v0.1-53-g46e86f4;options:-c2;input:r1.y0.y0.x1.x1.x1.u0,1
05_2	theta_2	4	program:kht++ v0.1-53-g46e86f4;options:-c2-d;input:r1.y0.y0.x1.x1.x1.u0,1
05_2	theta_3	3	program:kht++ v0.1-53-g46e86f4;options:-c3-d;input:r1.y0.y0.x1.x1.x1.u0,1
05_2	theta_5	3	program:kht++ v0.1-53-g46e86f4;options:-c5-d;input:r1.y0.y0.x1.x1.x1.u0,1
05_2	theta_7	3	program:kht++ v0.1-53-g46e86f4;options:-c7-d;input:r1.y0.y0.x1.x1.x1.u0,1
06_1	Genus-4D	0	source:knotinfo;date:5 June 2022;scraped by:Claudius Zibrowius
06_1	tau	0	source:knotinfo;date:5 June 2022;scraped by:Claudius Zibrowius
06_1	epsilon	0	source:knotinfo;date:5 June 2022;scraped by:Claudius Zibrowius
06_1	s_2	0	program:kht++ v0.1-53-g46e86f4;options:-c2;input:r1.r2.x1.y2.y2.y1.y3.y2.x3.y2.u1.u0,1
06_1	theta_2	0	program:kht++ v0.1-53-g46e86f4;options:-c2-d;input:r1.r2.x1.y2.y2.y1.y3.y2.x3.y2.u1.u0,1
06_1	theta_3	0	program:kht++ v0.1-53-g46e86f4;options:-c3-d;input:r1.r2.x1.y2.y2.y1.y3.y2.x3.y2.u1.u0,1
06_1	theta_5	0	program:kht++ v0.1-53-g46e86f4;options:-c5-d;input:r1.r2.x1.y2.y2.y1.y3.y2.x3.y2.u1.u0,1
